venue,venue_id,avg_first_innings_score,total_matches
Arun Jaitley Stadium,1,161.1,14
"Arun Jaitley Stadium, Delhi",2,190.1,16
Barabati Stadium,3,162.3,7
"Barsapara Cricket Stadium, Guwahati",4,174.0,3
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5,160.7,13
Brabourne Stadium,6,168.6,10
"Brabourne Stadium, Mumbai",7,168.4,17
Buffalo Park,8,135.3,3
De Beers Diamond Oval,9,152.7,3
Dr DY Patil Sports Academy,10,136.8,17
"Dr DY Patil Sports Academy, Mumbai",11,161.2,20
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,151.0,13
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",13,215.0,2
Dubai International Cricket Stadium,14,155.6,46
Eden Gardens,15,152.2,77
"Eden Gardens, Kolkata",16,184.4,16
Feroz Shah Kotla,17,155.3,59
Green Park,18,153.2,4
Himachal Pradesh Cricket Association Stadium,19,165.3,9
"Himachal Pradesh Cricket Association Stadium, Dharamsala",20,195.8,4
Holkar Cricket Stadium,21,151.9,9
JSCA International Stadium Complex,22,142.9,7
Kingsmead,23,144.2,15
M Chinnaswamy Stadium,24,158.4,63
"M Chinnaswamy Stadium, Bengaluru",25,186.9,14
M.Chinnaswamy Stadium,26,174.4,14
MA Chidambaram Stadium,27,145.6,9
"MA Chidambaram Stadium, Chepauk",28,157.3,48
"MA Chidambaram Stadium, Chepauk, Chennai",29,155.6,28
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",30,159.4,5
Maharashtra Cricket Association Stadium,31,158.0,22
"Maharashtra Cricket Association Stadium, Pune",32,163.2,13
"Narendra Modi Stadium, Ahmedabad",33,168.3,24
Nehru Stadium,34,138.2,5
New Wanderers Stadium,35,137.2,8
Newlands,36,132.0,7
OUTsurance Oval,37,125.5,2
Punjab Cricket Association IS Bindra Stadium,38,169.3,10
"Punjab Cricket Association IS Bindra Stadium, Mohali",39,157.9,11
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",40,186.0,5
"Punjab Cricket Association Stadium, Mohali",41,154.5,35
Rajiv Gandhi International Stadium,42,155.4,15
"Rajiv Gandhi International Stadium, Uppal",43,148.5,49
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",44,181.5,13
"Sardar Patel Stadium, Motera",45,155.5,12
Saurashtra Cricket Association Stadium,46,164.0,10
Sawai Mansingh Stadium,47,148.3,47
"Sawai Mansingh Stadium, Jaipur",48,171.1,10
Shaheed Veer Narayan Singh International Stadium,49,139.5,6
Sharjah Cricket Stadium,50,150.6,28
Sheikh Zayed Stadium,51,151.9,29
St George's Park,52,150.6,7
Subrata Roy Sahara Stadium,53,141.9,16
SuperSport Park,54,144.5,12
"Vidarbha Cricket Association Stadium, Jamtha",55,139.7,3
Wankhede Stadium,56,157.3,73
"Wankhede Stadium, Mumbai",57,167.3,45
"Zayed Cricket Stadium, Abu Dhabi",58,151.8,8
